Large Colleges and Universities  (>15K undergraduates),,,,
Rank# of Undergraduate Alumni Volunteers,Rank,,,# of Undergraduate Alumni Volunteers
1 University of Wisconsinâ€“Madison 87,13,Arizona State University,,43
2 University of Washington 73,15,"University of Maryland, C ollege Park",,42
3 University of Minnesota 70,15,University of Virginia,,42
4 University of Michigan 60,17,James Madison University,,41
5 University of Florida 58,18,"University of California, Santa Barbara",,40
6 Colorado State University 54,18,University of South Florida,,40
7 University of North Carolina at Chapel Hill 51,20,"University of California, Davis",,39
8 The Pennsylvania State University 50,21,North Carolina State Universi ty,,37
9 The Ohio State University 49,21,Indiana University Bloom ington,,37
10 Michigan State University 48,21,University of Illinois at Urb ana-Champaign,,37
11 University of Colorado Boulder 47,21,University of Massachusetts Amherst,,37
11 University of Oregon 47,25,University of Texas at Aus tin,,36
"13 University of California, Los Angeles 43",,,,
Medium Colleges and Universities  (5Kâ€“15K undergraduates),,,,
Rank# of Undergraduate Alumni Volunteers,Rank,,# of Undergraduate Alumni Volunteers,
1 American University 54,14,Loyola University Chicago,18,
2 Western Washington University 48,14,SUNY Geneseo,18,
3 The George Washington University 45,14,Howard University,18,
4 The College of William & Mary 36,14,University of Hawai'i at MÄÅnoa,18,
5 Humboldt State University 33,14,University of San Diego,18,
6 Georgetown University 31,14,University of Wisconsin-Stevens Point,18,
7 University of Montana 30,20,Fordham University,17,
8 University of Vermont  29,21,Montana State University,15,
8 Emory University 29,21,University of Rhode Island,15,
10 Tulane University 26,21,Northwestern University,15,
11 Cornell University 24,21,Tufts University,15,
12 College of Charleston  20,21,University of New Hampshire,15,
13 Boston College 19,,,,
,,,,
Small Colleges and Universities  (<5K undergraduates),,,,
Rank# of Undergraduate Alumni Volunteers,Rank,,# of Undergraduate Alumni Volunteers,
1 Denison University 16,13,Simmons College,10,
2 University of Mary Washington 13,13,Bowdoin College,10,
2 University of Puget Sound 13,13,Connecticut College,10,
4 St. Mary's College of Maryl and 12,13,Kalamazoo College,10,
4 Whitworth University  12,13,Eckerd College,10,
4 Hobart and William Smith Colleges 12,13,SUNY College of Environmental Science and Forestry,10,
7 Colorado College 11,13,Wellesley College,10,
7 Smith College ` 11,13,Grinnell College,10,
7 Spelman College 11,22,Hamilton College,9,
7 St. Lawrence University 11,22,Loyola University New Orleans,9,
7 The Evergreen State College 11,22,Whitman College,9,
7 Oberlin College 11,22,College of Wooster,9,
13 Carleton College 10,22,Rice University,9,
